id,origin_airport,origin_airport_name,origin_city,origin_state,origin_latitude,origin_longitude,mean_arrival_delay,flight_count,mean_delay_time_per_flight,orig_count_early_flights,mean_early_arrival_time,orig_count_delayed_flights,mean_arrival_delay_time,percent_early_flights,percent_delayed_flights,mean_early_arrival_time_per_flight,mean_arrival_delay_time_per_flight
121,GCK,Garden City Regional Airport,Garden City,KS,37.92752,-100.72440999999999,4.483500717360115,725,0.00618413892049671,453,-14.562913907284768,237,41.0210970464135,62.48275862068966,32.689655172413794,-2.00867778031514,5.6580823512294485
122,GEG,Spokane International Airport,Spokane,WA,47.619859999999996,-117.53383999999998,2.6739405747686313,10333,0.0002587767903579436,6597,-10.924056389267848,3401,29.260217583063806,63.8439949675796,32.91396496661182,-0.10572008506017468,0.2831725305628937
123,GFK,Grand Forks International Airport,Grand Forks,ND,47.949259999999995,-97.17611,4.240049751243781,807,0.005254088911082752,475,-10.115789473684211,309,26.58252427184466,58.85997521685255,38.28996282527881,-1.2535055109893696,3.2939930944045432
124,GGG,East Texas Regional Airport,Longview,TX,32.384859999999996,-94.71171,8.907324364723468,702,0.012688496246044827,372,-9.61021505376344,283,33.68904593639576,52.991452991452995,40.313390313390315,-1.3689765033851053,4.799009392648968
125,GJT,Grand Junction Regional Airport (Walker Field),Grand Junction,CO,39.122409999999995,-108.52673,1.5103244837758112,3450,0.0004377752126886409,2307,-11.865192891200694,1014,32.044378698224854,66.8695652173913,29.391304347826086,-0.3439186345275564,0.9288225709630393
126,GNV,Gainesville Regional Airport,Gainesville,FL,29.69006,-82.27178,7.771697455559428,2917,0.0026642774959065576,1669,-9.837627321749551,1132,34.20141342756184,57.216318135070274,38.806993486458694,-0.3372515365700909,1.172485890557485
127,GPT,Gulfport-Biloxi International Airport,Gulfport-Biloxi,MS,30.40728,-89.07009000000002,1.3599369913363086,3909,0.00034789894892205386,2623,-12.593213877239801,1108,34.48736462093863,67.10156050140701,28.344845228958814,-0.32215947498694814,0.8822554264757899
128,GRB,Green Bay-Austin Straubel International Airport,Green Bay,WI,44.48507,-88.12959000000002,3.613479262672811,5370,0.0006729011662332981,3226,-12.020148791072536,1853,31.08256880733945,60.07448789571694,34.506517690875235,-0.22383889741289636,0.5788187859839748
129,GRI,Central Nebraska Regional Airport,Grand Island,NE,40.96747,-98.30861,-0.27492447129909364,691,-0.00039786464732140904,478,-16.110878661087867,172,43.71511627906977,69.17510853835022,24.891461649782922,-2.3315309205626433,6.326355467303873
130,GRK,Killeen-Fort Hood Regional Airport,Killeen,TX,31.0649,-97.8278,5.0049645390070925,4404,0.0011364587963231363,2747,-12.30833636694576,1391,39.52695902228613,62.37511353315168,31.584922797456855,-0.27948084393609807,0.8975240468275688
131,GRR,Gerald R. Ford International Airport,Grand Rapids,MI,42.88082,-85.52277,1.607694320858414,11773,0.0001365577440634005,7792,-14.588424024640657,3468,38.0916955017301,66.18533933576828,29.45723265098106,-0.12391424466695539,0.32355130809250066
132,GSO,Piedmont Triad International Airport,Greensboro,NC,36.09775,-79.9373,5.542593905031892,7335,0.0007556365242033937,4464,-13.590725806451612,2425,41.14309278350515,60.858895705521476,33.06066802999318,-0.18528596873144665,0.5609146937083185
133,GSP,Greenville-Spartanburg International Airport,Greer,SC,34.89567,-82.21885999999998,2.655866400228376,7173,0.0003702588038796007,4560,-11.684649122807018,2275,31.599560439560438,63.571727310748635,31.716157814024815,-0.16289765959580396,0.4405347893428195
134,GST,Gustavus Airport,Gustavus,AK,58.424380000000006,-135.70738,21.763157894736842,77,0.2826384142173616,25,-7.72,51,36.21568627450981,32.467532467532465,66.23376623376623,-10.025974025974026,47.03335879806468
135,GTF,Great Falls International Airport,Great Falls,MT,47.482,-111.37069,-1.2282099343955013,2156,-0.000569670656027598,1510,-12.972185430463576,557,30.461400359066428,70.03710575139146,25.834879406307977,-0.6016783594834683,1.4128664359492777
136,GTR,Golden Triangle Regional Airport,Columbus-Starkville-West Point,MS,33.45033,-88.59137,7.681,1015,0.007567487684729064,585,-8.582905982905983,392,32.4030612244898,57.635467980295566,38.62068965517241,-0.8456065007789145,3.192419825072886
137,GUC,Gunnison-Crested Butte Regional Airport,Gunnison,CO,38.53396,-106.93318000000001,8.625,497,0.017354124748490945,279,-15.172043010752688,189,43.93650793650794,56.13682092555332,38.028169014084504,-3.052724951861708,8.840343649196768
138,GUM,Guam International Airport,Agana,GU,13.48345,-144.79598000000001,4.575,365,0.012534246575342467,199,-14.256281407035177,151,29.695364238410598,54.52054794520548,41.369863013698634,-3.9058305224753913,8.135716229701535
139,HDN,Yampa Valley Airport (Yampa Valley Regional),Hayden,CO,40.48118,-107.21766000000001,8.157223796033994,723,0.011282467214431527,430,-15.534883720930232,262,47.47709923664122,59.47441217150761,36.23789764868603,-2.14866994756988,6.5666803923431845
140,HIB,Range Regional Airport (Chisholm-Hibbing Airport),Hibbing,MN,47.3866,-92.83899,-1.2622268470343392,982,-0.0012853633880186754,659,-16.608497723823977,281,34.63345195729537,67.10794297352342,28.615071283095723,-1.6912930472325842,3.5268281015575735
141,HLN,Helena Regional Airport,Helena,MT,46.60682,-111.98275,-2.1455128205128204,1576,-0.0013613660028634648,1144,-12.214160839160838,378,28.11111111111111,72.58883248730965,23.98477157360406,-0.77501020553051,1.7836999435984207
142,HNL,Honolulu International Airport,Honolulu,HI,21.31869,-157.92241,0.5786284711071146,46952,1.2323830105365363e-05,28303,-10.170617955693743,16593,18.976978243837763,60.28071221673198,35.3403475890271,-0.02166173529496878,0.040417827235980926
143,HOB,Lea County Regional Airport,Hobbs,NM,32.687529999999995,-103.21703000000001,2.756666666666667,624,0.004417735042735043,426,-13.244131455399062,162,45.03703703703704,68.26923076923077,25.961538461538463,-2.12245696400626,7.21747388414055
144,HOU,William P. Hobby Airport,Houston,TX,29.64542,-95.27889,7.166540988904449,56641,0.00012652567908236876,30670,-9.704629931529182,23532,29.61087030426653,54.1480552956339,41.5458766617821,-0.01713357802921767,0.05227815593698298
145,HPN,Westchester County Airport,White Plains,NY,41.066959999999995,-73.70756999999998,9.087898089171974,8164,0.001113167330863789,4416,-14.512001811594203,3278,41.31330079316656,54.09113179813817,40.15188633023028,-0.1777560241498555,0.5060423909011093
146,HRL,Valley International Airport,Harlingen,TX,26.228509999999996,-97.65439,1.3696581196581197,3340,0.00041007728133476637,2298,-9.600087032201914,901,29.46503884572697,68.80239520958084,26.97604790419162,-0.28742775545514715,0.8821867917882327
147,HSV,Huntsville International Airport,Huntsville,AL,34.64045,-86.77311,2.904821280133001,4909,0.0005917338113939705,3204,-12.967228464419476,1503,36.94278110445775,65.26787533102465,30.617233652475047,-0.2641521382036968,0.7525520697587645
148,HYA,Barnstable Municipal Airport,Hyannis,MA,41.66934000000001,-70.28036,8.621951219512194,83,0.10387893035556861,60,-19.033333333333335,21,88.04761904761905,72.28915662650603,25.301204819277107,-22.931726907630523,106.08146873207114
149,HYS,Hays Regional Airport,Hays,KS,38.84494,-99.27403000000001,2.6721311475409837,626,0.0042685801078929456,385,-11.166233766233766,211,28.099526066350712,61.50159744408946,33.70607028753994,-1.7837434131363843,4.488742183123117
150,IAD,Washington Dulles International Airport,Chantilly,VA,38.94453,-77.45581,4.505377224587837,37294,0.00012080702591805217,23067,-15.478865912342307,12920,40.4109907120743,61.851772403067514,34.64364240896659,-0.041504976436805674,0.10835788789637557
151,IAG,Niagara Falls International Airport,Niagara Falls,NY,43.10726,-78.94538,3.7005988023952097,344,0.01075755465812561,191,-18.42931937172775,136,34.970588235294116,55.52325581395349,39.53488372093023,-5.357360282478997,10.165868673050616
152,IAH,George Bush Intercontinental Airport,Houston,TX,29.98047,-95.33972,6.920385515135676,159595,4.3362169962315085e-05,89034,-11.400903025810365,64018,32.814911431159985,55.78746201322097,40.11278548826718,-0.00714364674695972,0.02056136560115291
153,ICT,Wichita Dwight D. Eisenhower National Airport (Wichita Mid-Continent Airport),Wichita,KS,37.64996,-97.43305,6.240574296719972,8794,0.0007096400155469606,5359,-12.152827019966411,3005,39.46422628951747,60.93927677962247,34.171025699340454,-0.13819453058865602,0.4487630917616269
154,IDA,Idaho Falls Regional Airport,Idaho Falls,ID,43.514559999999996,-112.07016999999999,-2.530502885408079,2448,-0.0010337021590719278,1788,-13.2086129753915,598,29.22742474916388,73.0392156862745,24.4281045751634,-0.5395675235045547,1.1939307495573481
155,ILG,Wilmington Airport,Wilmington,DE,39.67872,-75.60653,24.063157894736843,100,0.24063157894736842,39,-19.128205128205128,53,57.20754716981132,39.0,53.0,-19.128205128205128,57.20754716981132
156,ILM,Wilmington International Airport,Wilmington,NC,34.27061,-77.90256,3.439571150097466,2075,0.0016576246506493813,1377,-10.88961510530138,620,35.56935483870968,66.36144578313254,29.87951807228916,-0.5248007279663315,1.7141857753595027
157,IMT,Ford Airport,Iron Mountain/Kingsford,MI,45.81835,-88.11454,-1.3806646525679758,678,-0.0020363785436105838,479,-14.116910229645095,170,34.4,70.64896755162242,25.073746312684364,-2.082140151865058,5.073746312684365
158,IND,Indianapolis International Airport,Indianapolis,IN,39.71733,-86.29438,1.8575650333831952,27931,6.650549688099944e-05,18326,-13.908381534431955,8560,35.72418224299066,65.61168594035301,30.646951415989403,-0.04979550153747433,0.1279015511187951
159,INL,Falls International Airport,International Falls,MN,48.56619,-93.40307,5.161184210526316,627,0.008231553764794763,396,-11.545454545454545,198,38.93939393939394,63.1578947368421,31.57894736842105,-1.8413803102798318,6.210429655405732
160,ISN,Sloulin Field International Airport,Williston,ND,48.17794,-103.64235,0.4972211930344572,2763,0.00017995700073632182,1851,-16.690437601296598,801,40.24469413233458,66.99239956568947,28.990228013029316,-0.6040694028699456,1.4565578766679181
161,ISP,Long Island MacArthur Airport,Islip,NY,40.79524,-73.10021,1.8562119895742832,4758,0.0003901244198348641,3041,-13.812890496547189,1479,34.179175118323194,63.91340899537621,31.084489281210594,-0.29030875360544744,0.7183517259000252
162,ITH,Ithaca Tompkins Regional Airport,Ithaca,NY,42.49103,-76.45844,7.9,34,0.2323529411764706,14,-14.0,14,30.928571428571427,41.17647058823529,41.17647058823529,-41.17647058823529,90.96638655462185
163,ITO,Hilo International Airport,Hilo,HI,19.72026,-155.04847,0.20850104653034937,6226,3.3488764299767005e-05,3968,-7.104334677419355,1991,14.809141135107986,63.732733697398004,31.978798586572438,-0.11410752774525144,0.23785963917616423
